A'G',A'E'/A'G',E'G'/A'G',A'C'/A'G',C'E'/A'G',A'B'/A'C',B'C'/A'C',C'D'/C'E',D'E'/C'E',E'F'/E'G',F'G'/E'G',H,f/H,g/H,i/H,H/A'B',S,S_sys/S,S_dia/S,PSD1,PSD2,PSD3,PSD4,PSD5,PSD6,PSD7,PSD8,PSD9,PSD10,PSD11,PSD12,PSD13,PSD14,PSD15,PSD16,PSD17,PSD18,PSD19,PSD20,SBP,DBP
0.8354,0.390711037,0.609288963,0.262462257,0.12824878,0.530277406,0.469722594,0.731190399,0.268809601,0.09023554,0.90976446,1.814119378,0.526140255,0.475268,0.740926086,15.60275931,0.547422619,0.641600894,0.358399106,0.016454615,0.021372864,0.025725207,0.025996565,0.025459076,0.024213498,0.021976155,0.019762435,0.017880182,0.0160888,0.013400664,0.008996284,0.004698234,0.003103517,0.00251656,0.001955244,0.00146037,0.0009747,0.0007025,0.000538019,113,83
0.489,0.386503067,0.613496933,0.249535845,0.136967222,0.644628777,0.355371223,0.15637615,0.84362385,0.296666667,0.703333333,1.286341905,0.078044053,0.340383943,1.162051873,16.35328216,0.228466235,0.715966386,0.284033614,0.007515427,0.008934638,0.01035385,0.011773061,0.012741655,0.012267636,0.011685263,0.01110289,0.010523349,0.009978875,0.009444876,0.008910876,0.008376896,0.007958355,0.007649463,0.00734057,0.007031678,0.006630293,0.005946138,0.005242176,121,80
0.7746,0.318553196,0.681446804,0.15329347,0.165259726,0.375165133,0.624834867,0.097327241,0.902672759,0.175900207,0.824099793,0.142047332,2.355546448,3.371748037,6.046059526,3.188669166,0.227618055,0.5257693,0.4742307,0.003205246,0.004111624,0.004984286,0.005088516,0.0048732,0.004642559,0.004316341,0.003973569,0.00364874,0.003369975,0.00309353,0.0025951,0.00185714,0.001134536,0.00082037,0.000687539,0.000553805,0.000413971,0.000272998,0.000159486,120,84
0.7808,0.385245902,0.614754098,0.243273658,0.141972243,0.580042543,0.419957457,0.769061301,0.230938699,0.159376403,0.840623597,1.328067715,0.434227429,0.332617257,0.594958847,12.05384163,0.328456407,0.604534821,0.395465179,0.006145197,0.007764263,0.009315773,0.009555508,0.009290016,0.008985499,0.008477207,0.007939556,0.007394598,0.006834734,0.006272604,0.005300393,0.004015554,0.00278981,0.002309557,0.002054384,0.00176092,0.001313713,0.000850396,0.00051411,118,76
0.704,0.46875,0.53125,0.085617015,0.383132985,0.377805707,0.622194293,0.013812635,0.986187365,0.22119494,0.77880506,0.063750789,13.94791381,11.22668615,14.96322159,2.799524731,0.654494155,0.684173062,0.315826938,0.023922132,0.030284761,0.03664739,0.039117296,0.037204089,0.035287081,0.033323703,0.031301797,0.029279699,0.027442078,0.02586457,0.024288908,0.021727531,0.017617846,0.013489408,0.010145329,0.008170876,0.006221434,0.00455406,0.003433406,131,81
0.9476,0.365132967,0.634867033,0.233220768,0.131912199,0.512353166,0.487646834,0.10238869,0.89761131,0.132960667,0.867039333,6.105734874,0.49886224,0.398406857,0.67868003,53.92327293,2.150795985,0.765144299,0.568189035,0.159432061,0.210372028,0.2456457,0.242330128,0.235895292,0.221296053,0.205161287,0.18555507,0.164495776,0.131667921,0.086642583,0.051370037,0.040869208,0.031840166,0.024406884,0.017380369,0.013478347,0.010924779,0.00885542,0.007305975,126,84
0.717,0.442119944,0.557880056,0.263797691,0.178322253,0.523616018,0.476383982,0.546368406,0.453631594,0.186802307,0.813197693,4.282706705,0.520611423,0.460732457,0.722475566,43.2429451,1.366573023,0.57990847,0.42009153,0.047876829,0.060882965,0.07388442,0.078243065,0.074731417,0.071219548,0.067601484,0.063895109,0.060189874,0.056737891,0.053478698,0.050188864,0.042938709,0.03292322,0.022958242,0.017304796,0.014417276,0.011535763,0.00902071,0.006721929,146,100
0.819,0.41025641,0.58974359,0.296901162,0.113355248,0.541402407,0.458597593,0.827656683,0.172343317,0.087482818,0.912517182,3.595420306,0.515261258,0.444240877,0.587162274,27.31075371,1.044908553,0.632490672,0.367509328,0.055651628,0.071608645,0.086086116,0.086604215,0.083675505,0.079509616,0.072718581,0.065876282,0.060311153,0.055392257,0.048898314,0.035525596,0.021349283,0.013084013,0.011235531,0.009355504,0.007118051,0.004785539,0.00291929,0.002114989,118,79
0.72,0.368055556,0.631944444,0.166506679,0.201548877,0.557850529,0.442149471,0.338456579,0.661543421,0.185682131,0.814317869,3.416451271,0.257620722,0.170752101,0.898458846,51.08497988,0.635142532,0.744673215,0.255326785,0.053737531,0.06822003,0.082678747,0.08677976,0.082348661,0.07791763,0.07349447,0.069076706,0.064649287,0.059686195,0.05441519,0.049047048,0.040490532,0.030391243,0.020520783,0.015657673,0.012837903,0.010028536,0.007382439,0.00479251,117,81
0.81,0.414814815,0.585185185,0.280246914,0.134567901,0.531599797,0.468400203,0.125733419,0.874266581,0.136363144,0.863636856,3.430021386,0.368879738,0.324693321,0.53857374,28.42406347,0.862686946,0.685219247,0.314780753,0.044627361,0.058064451,0.070413405,0.071415966,0.069404373,0.066550394,0.061641829,0.056641907,0.051764045,0.046962596,0.041391035,0.031222971,0.020292837,0.012802382,0.010755822,0.008781469,0.006895927,0.005046475,0.00345678,0.002835864,112,66
